gene,species,genus,family,order,class,phylum,kingdom
NP_040135.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040135.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040136.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040136.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040137.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040138.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040138.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040139.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040140.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040141.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040141.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040142.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040142.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040143.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040143.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040144.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040145.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040146.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040146.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040147.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040148.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040148.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040149.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040149.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040150.2,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040151.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040152.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040153.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040153.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040154.2,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040155.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040155.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040156.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040157.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040157.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040158.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040159.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040160.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040161.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040162.2,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040163.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040163.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040164.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040164.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040165.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040166.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040166.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040167.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040168.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040168.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040169.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040169.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040170.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040171.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040171.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040172.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040172.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040173.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040174.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040175.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040175.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040176.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040176.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040177.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040178.2,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040179.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040179.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040180.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040181.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040182.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040183.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040183.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040184.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040184.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040185.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040185.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040185.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040186.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040186.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040187.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040187.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040187.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040188.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040188.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040188.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040189.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040189.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040189.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040190.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040190.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040191.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040191.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040192.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040192.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040192.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040193.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040193.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_053044.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_068406.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_068407.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040296.1,Alphapapillomavirus 10, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040297.1,Alphapapillomavirus 10, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040298.1,Alphapapillomavirus 10, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040298.1,Alphapapillomavirus 10, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040299.1,Alphapapillomavirus 10, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040300.1,Alphapapillomavirus 10, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040301.1,Alphapapillomavirus 10, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040302.1,Alphapapillomavirus 10, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040303.1,Alphapapillomavirus 10, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040304.1,Alphapapillomavirus 10, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040310.1,Alphapapillomavirus 7, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040312.1,Alphapapillomavirus 7, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040315.1,Alphapapillomavirus 7, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040316.1,Alphapapillomavirus 7, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_040317.1,Alphapapillomavirus 7, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_056773.1,,Gyrovirus, Anelloviridae,,,,
NP_056773.1,,Gyrovirus, Anelloviridae,,,,
NP_056773.1,Chicken anemia virus, Gyrovirus, Anelloviridae,,,,
NP_056774.1,,Gyrovirus, Anelloviridae,,,,
NP_056774.1,,Gyrovirus, Anelloviridae,,,,
NP_056774.1,,Gyrovirus, Anelloviridae,,,,
NP_056774.1,,Gyrovirus, Anelloviridae,,,,
NP_056774.1,Chicken anemia virus, Gyrovirus, Anelloviridae,,,,
NP_056775.1,,Gyrovirus, Anelloviridae,,,,
NP_056775.1,Chicken anemia virus, Gyrovirus, Anelloviridae,,,,
NP_056779.1,Hepatitis E virus, Orthohepevirus, Hepeviridae, Hepelivirales, Alsuviricetes, Kitrinoviricota, Orthornavirae
NP_056788.1,Hepatitis E virus, Orthohepevirus, Hepeviridae, Hepelivirales, Alsuviricetes, Kitrinoviricota, Orthornavirae
NP_056918.1,,Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056918.1,Measles morbillivirus, Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056919.1,,Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056919.1,Measles morbillivirus, Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056920.1,,Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056920.1,Measles morbillivirus, Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056921.1,,Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056921.1,Measles morbillivirus, Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056922.1,,Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056922.1,Measles morbillivirus, Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056922.1,Measles morbillivirus, Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056922.1, Measles morbillivirus, Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056923.1,,Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056923.1,Measles morbillivirus, Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056924.1,,Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056924.1,Measles morbillivirus, Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
YP_003873249.2,,Morbillivirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_041325.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041325.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041325.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041325.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041325.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041325.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041326.1,,Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041327.2,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041327.2,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041327.2,,Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041328.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041328.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041328.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041328.1,,Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041330.2,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041330.2,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041330.2,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041330.2,,Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041331.2,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041331.2,,Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041332.2,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041332.2,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041332.2,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041332.2,,Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
YP_009268708.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
YP_009268708.1,Alphapapillomavirus 9, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
