virus,protein,nseq,ncod,treelen
HIV1A1,Gag,51,429,1.73429
TBEV,non-structural protein NS2a,276,230,2.78854
RotaA,NSP5,161,106,2.68709
orthobornavirus,matrix protein,55,114,0.59657
RotaA,VP2,70,862,1.61342
wnv,membrane protein,136,75,0.97915
IAVH9N2,NS2,323,57,2.00124
dengue2,nonstructural protein NS4B,590,248,1.82942
HIV2,vpx,41,54,2.16324
HIV1A1,Tat,45,39,1.79991
TBEV,non-structural protein NS4b,216,252,1.86922
TBEV,non-structural protein NS2b,219,131,1.79990
polio,protein-3C,49,183,2.27820
HepA,2C-mature-peptide,331,335,2.24986
TBEV,core protein,238,111,1.98966
Mastro1,VP27,54,381,2.79718
HIV1A1,Vpr,64,69,1.98782
measles,matrix protein,197,335,0.98341
RhinoA,1D,83,286,1.59390
lyssavirus,nucleoprotein,345,450,2.11873
IAVH9N2,PB1,104,666,2.12426
HCV1a,NS3,74,631,1.83891
YFV,non-structural protein NS3,199,623,1.39692
RhinoA,2C,85,322,1.80097
RhinoA,1A,115,69,1.91539
HIV1A1,gp120,35,420,2.03333
HIV2,nef,20,200,1.82026
HCV1a,NS2,105,217,1.95857
